order_id,customer_id,product_id,store_id,quantity,unit_price,sale_date
ORD001,CUST001,PROD001,STORE01,2,500,2026-06-01
ORD002,CUST002,PROD002,STORE01,1,1200,2026-06-01
ORD003,CUST003,PROD003,STORE02,5,250,2026-06-02
ORD004,CUST004,PROD001,STORE02,3,500,2026-06-02
ORD005,CUST005,PROD004,STORE03,2,750,2026-06-03
ORD006,CUST006,,STORE01,2,500,2026-06-03
ORD007,CUST007,PROD002,STORE01,-1,1200,2026-06-03
ORD008,CUST008,PROD003,STORE02,2,,2026-06-03
ORD009,CUST009,PROD004,STORE03,2,750,2026-13-01
ORD001,CUST001,PROD001,STORE01,2,500,2026-06-01
